#{"t_start": 1672758446.629091, "env_id": null}
r,l,t
-0.6849995,200,195.039385
0.73000014,147,195.224116
-0.49999967,200,195.474426
-0.4649997,200,195.723669
0.81500006,120,195.881965
-0.6049996,200,196.133395
0.995,2,196.136593
-0.14999999,200,196.507995
-0.48999968,200,196.756335
0.995,16,196.776479
1.0,20,196.802092
0.96500003,51,196.865591
-0.38499978,200,197.118103
-0.5999996,200,197.380195
-0.6949995,200,198.682306
0.995,33,198.84121
-0.7349995,200,199.107825
-0.67999953,200,199.357545
-0.44499972,200,199.612389
-0.53499967,200,199.8613
-0.4849997,200,200.113598
0.915,58,200.303707
-0.32999983,200,200.554059
-0.6049996,200,200.802028
1.0,1,200.803909
0.46500033,187,201.043081
0.975,18,201.066194
-0.4749997,200,201.314987
-0.31499985,200,202.717811
0.7650001,108,202.852951
0.98,31,202.892032
-0.38999978,200,203.154572
-0.5299997,200,203.424104
-0.49499968,200,203.673841
0.995,12,203.689934
-0.53999966,200,203.9373
0.955,26,203.972874
-0.65999955,200,204.349425
-0.49499968,200,204.601161
-0.65999955,200,204.8485
-0.6049996,200,205.101599
-0.3799998,200,206.368106
-0.8199994,200,206.737845
-0.16499998,200,206.988025
0.96,20,207.014763
-0.3599998,200,207.28521
-0.5999996,200,207.558552
0.97,31,207.602607
-0.43499973,200,207.900536
0.94,34,208.080152
-0.4599997,200,208.500259
0.97,20,208.554172
0.985,10,208.578552
-0.53999966,200,208.832644
0.84000003,60,208.912443
-0.3599998,200,209.224715
-0.56999964,200,209.524831
-0.49499968,200,211.408306
0.7900001,75,211.510002
-0.5799996,200,211.765147
-0.41499975,200,212.015883
1.0,1,212.017815
0.9,36,212.062887
-0.5099997,200,212.311996
0.98,6,212.319914
-0.7249995,200,212.572996
-0.2449999,200,212.94575
-0.42999974,200,213.1951
1.0,5,213.202052
-0.4699997,200,213.458248
-0.39999977,200,213.708275
-0.77999943,200,214.98748
-0.54999965,200,215.396159
-0.41999975,200,215.697262
0.96500003,28,215.745657
1.0,3,215.750813
-0.38499978,200,216.180514
-0.43999973,200,216.491869
-0.3649998,200,216.747731
0.94,18,216.77092
-0.6949995,200,217.146824
-0.67999953,200,217.39609
0.42000037,183,217.637633
0.72500014,135,217.806656
-0.2749999,200,218.059013
0.975,34,219.140015
-0.6349996,200,219.518922
-0.5099997,200,219.824255
0.85,71,219.917698
-0.41999975,200,220.185984
-0.39999977,200,220.451027
-0.44999972,200,220.72195
-0.55499965,200,221.141756
-0.44499972,200,221.402662
-0.78499943,200,221.659349
1.0,1,221.662801
0.92,28,221.711362
0.47000033,134,221.900433
0.985,24,221.932804
-0.6849995,200,223.295133
-0.7349995,200,223.769141
-0.74999946,200,224.098134
0.7400001,118,224.298962
0.995,5,224.308853
-0.49999967,200,224.640612
1.0,6,224.649977
-0.41999975,200,224.95192
-0.56999964,200,225.381209
-0.3749998,200,225.804088
0.97,54,225.896515
1.0,4,225.90374
0.86,100,226.077396
1.0,16,226.102324
0.86,105,226.267263
-0.4649997,200,226.689653
-0.8249994,200,226.981733
-0.49999967,200,228.648638
0.925,43,228.704737
-0.6299996,200,228.96044
-0.5799996,200,229.222098
-0.85499936,200,229.526735
0.96500003,13,229.54494
-0.20499994,200,229.842016
-0.41499975,200,230.34825
-0.27999988,200,230.659217
0.7450001,65,230.7594
-0.8299994,200,231.060914
-0.67499954,200,231.358548
-0.2649999,200,232.650817
-0.5199997,200,233.024788
0.61500025,176,233.245272
0.99,7,233.254765
0.935,34,233.297449
0.975,26,233.330383
0.995,8,233.341017
0.97,20,233.366605
-0.40999976,200,233.618772
-0.4849997,200,233.869879
-0.66499954,200,234.128382
-0.53999966,200,234.500462
-0.54499966,200,234.75028
-0.55999964,200,235.002305
-0.4799997,200,235.264882
-0.5299997,200,236.713139
0.95,14,236.732586
-0.4749997,200,237.164379
-0.49499968,200,237.572501
0.985,6,237.582132
0.98,7,237.593571
-0.55999964,200,238.06194
0.975,8,238.086787
1.0,1,238.089827
-0.6849995,200,238.604435
0.985,15,238.630762
-0.55999964,200,239.135554
-0.8099994,200,239.609802
-0.2399999,200,239.996386
-0.6899995,200,240.315759
-0.31499985,200,240.637535
1.0,2,240.641496
-0.32999983,200,242.528434
0.99,12,242.545907
-0.5999996,200,242.96436
-0.5049997,200,243.25254
-0.74999946,200,243.570707
0.99,31,243.61447
-0.3799998,200,243.981435
-0.85499936,200,244.262918
0.97,22,244.424868
0.99,5,244.435351
-0.4749997,200,244.70683
0.875,77,244.810974
-0.5299997,200,245.075872
-0.5299997,200,245.335217
0.995,6,245.343222
-0.5199997,200,245.61014
0.99,20,245.637007
-0.5149997,200,247.261189
0.99,12,247.278433
-0.4749997,200,247.546449
-0.17999996,200,247.812375
0.83500004,75,247.91055
-0.5199997,200,248.207527
-0.42999974,200,248.501651
0.98,8,248.512834
1.0,1,248.51492
0.88,60,248.742437
0.85,141,248.986089
-0.5249997,200,249.250661
-0.53999966,200,249.517134
0.98,12,249.533771
-0.5999996,200,249.805364
-0.42499974,200,251.197008
-0.54999965,200,251.645602
-0.44999972,200,251.923166
-0.54499966,200,252.190573
0.98,25,252.224385
-0.67499954,200,252.492971
0.975,49,252.55718
-0.49499968,200,252.822009
-0.33999982,200,253.280087
1.0,3,253.284602
-0.7349995,200,253.545543
-0.3599998,200,253.814271
1.0,5,253.821361
-0.2649999,200,254.132755
0.92,56,254.231703
-0.13000001,200,255.69355
-0.6999995,200,255.961885
1.0,1,255.963825
-0.41999975,200,256.227211
-0.2699999,200,256.479849
-0.45499972,200,256.73003
0.88,45,256.787097
-0.31999984,200,257.177646
-0.56499964,200,257.434576
0.98,6,257.442808
-0.34999982,200,257.694659
-0.40499976,200,257.945098
-0.77499944,200,258.195071
0.72500014,145,259.466982
-0.44999972,200,259.848191
-0.5849996,200,260.104551
-0.2599999,200,260.379644
0.80500007,101,260.536019
1.0,2,260.539131
-0.42999974,200,260.880163
-0.6899995,200,261.355756
-0.34499982,200,261.6345
-0.55499965,200,261.928251
-0.29999986,200,262.284819
-0.41999975,200,262.57902
1.0,3,262.584502
-0.74499947,200,264.356615
-0.33499983,200,264.687412
-0.2599999,200,264.969359
0.87,63,265.079201
-0.55999964,200,265.349189
0.935,45,265.406719
0.70500016,135,265.597354
0.98,6,265.605752
-0.2699999,200,266.00626
-0.39499977,200,266.278852
-0.8299994,200,266.573155
-0.3799998,200,266.859288
-0.43499973,200,267.129903
-0.67499954,200,269.103054
-0.77999943,200,269.369005
-0.7899994,200,269.767739
-0.3649998,200,270.042651
0.85,144,270.226506
0.975,35,270.270661
-0.2399999,200,270.52372
-0.43499973,200,270.894937
-0.77499944,200,271.146844
-0.7199995,200,271.395941
0.945,19,271.420232
-0.64999956,200,271.673319
0.71000016,128,272.854192
0.99,6,272.862093
-0.42499974,200,273.238965
0.98,15,273.259093
1.0,3,273.263419
-0.43499973,200,273.514828
-0.45499972,200,273.76704
-0.3799998,200,274.017013
-0.66499954,200,274.277326
-0.6099996,200,274.654151
-0.5899996,200,274.905056
-0.49499968,200,275.155793
0.96,17,275.178028
-0.4799997,200,275.42742
-0.42999974,200,276.693292
-0.64999956,200,277.063848
-0.7199995,200,277.313434
-0.5899996,200,277.564086
-0.27999988,200,277.816722
-0.41499975,200,278.072929
0.96500003,10,278.087437
-0.86999935,200,278.515696
-0.5199997,200,278.788477
0.73500013,77,278.91007
1.0,2,278.913868
-0.6149996,200,279.179674
0.6600002,87,279.316283
-0.8249994,200,279.625125
-0.6099996,200,281.648202
-0.4799997,200,281.955327
-0.7099995,200,282.2229
-0.4849997,200,282.605072
0.94,23,282.644287
0.915,74,282.739806
-0.4699997,200,283.043203
-0.6149996,200,283.434912
-0.6249996,200,283.768903
